uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
204036387,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,samsung_a50,512,5,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6403281030641519,0.4701812664041996,0.08476052212548031,0.07842037339786143
204036387,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,samsung_a50,512,10,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6635131500640907,0.491240157480315,0.09098467304512434,0.08419816822431686
204036387,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,samsung_a50,512,15,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7005013771897698,0.5218134842519686,0.10724965670204194,0.10305966546658014
204036387,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,samsung_a50,512,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7263694645364096,0.5444102690288715,0.10353218895199341,0.09836250228024207
204036387,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,samsung_a50,512,30,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7348241126472562,0.552354002624672,0.09044050530825413,0.08530194807303934
796152940,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,1080ti_1,512,5,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6488096637787357,0.4885535222192875,0.1400224015747814,0.12084200484045313
796152940,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,1080ti_1,512,10,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7367211943713848,0.5638287367703722,0.04970772837083634,0.04915337498667215
796152940,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,1080ti_1,512,15,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7763217711700228,0.6023342711556099,0.013676558326389185,0.017376345682374478
796152940,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,1080ti_1,512,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.776099319078911,0.6021996344796251,0.015101042875644488,0.016306906128586374
796152940,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,1080ti_1,512,30,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7800491954098878,0.6077619335551525,0.01220237605108215,0.012108490296587032
125967304,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanxp_32,512,5,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6811158098333638,0.5188484251968505,0.03516577777496316,0.035832094494842905
125967304,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanxp_32,512,10,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7882894997863639,0.6076853674540683,0.03162667730101844,0.029894499364704934
125967304,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanxp_32,512,15,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.810952282854178,0.631479658792651,0.030150127970354955,0.027394858209163757
125967304,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanxp_32,512,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8283986258621742,0.6462147309711288,0.01596009250288997,0.01715519150935231
125967304,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanxp_32,512,30,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8370551791491179,0.656709317585302,0.01402498308542662,0.014629155611527944
726600539,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanx_32,512,5,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.22942064563877196,0.15571276246719162,0.13542330577719694,0.0908344531716079
726600539,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanx_32,512,10,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.32102217237380215,0.2167240813648294,0.13813479773945386,0.09146820610307968
726600539,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanx_32,512,15,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.31674124855032654,0.21436597769028873,0.14394233170734386,0.09638111964513664
726600539,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanx_32,512,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.27805032274308733,0.18545357611548557,0.15197247384010676,0.10156800187712438
726600539,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanx_32,512,30,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.29643904886162487,0.19860564304461947,0.13828717561987117,0.09353885324210062
795285932,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,2080ti_32,512,5,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.1331956501821244,0.09091827589909639,0.03178397248416332,0.022238453295497836
795285932,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,2080ti_32,512,10,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.10985301301522088,0.07584972205815776,0.03301181310315105,0.022481179728145746
795285932,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,2080ti_32,512,15,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.11652777804421217,0.08054050267931354,0.04556665513563679,0.03163708738986491
795285932,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,2080ti_32,512,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.10944847928479058,0.07505179806019005,0.041657301995815674,0.029158634804500615
