uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
266570563,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,gold_6240,256,5,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6408671439237351,0.4784112662699146,0.12820034802831687,0.10912717927797373
266570563,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,gold_6240,256,10,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6788783109304031,0.5038169511706083,0.0602573382501832,0.055198738384096925
266570563,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,gold_6240,256,15,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7288591432953522,0.5508182197740555,0.038883331962907164,0.040181899029754255
266570563,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,gold_6240,256,20,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7369832304148523,0.5617707605497031,0.0465231065846089,0.045710813671959366
266570563,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,gold_6240,256,30,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7358059493285988,0.5615025469628578,0.04167527191379823,0.04055782004134016
686579303,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,zcp,2,pixel2,256,5,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7504090368064456,0.5703764763779529,0.039827112396643334,0.040298817417688086
686579303,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,zcp,2,pixel2,256,10,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.79014122871269,0.6085063976377955,0.03286951452681326,0.033098481177199296
686579303,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,zcp,2,pixel2,256,15,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8048860671122504,0.6234719488188978,0.01932620184229083,0.02193896958713642
686579303,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,zcp,2,pixel2,256,20,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8390505401941036,0.6606077755905512,0.015181246861024084,0.01819343089693439
686579303,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,zcp,2,pixel2,256,30,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8415071644387474,0.661865157480315,0.00865014000431313,0.011057848435157624
446952114,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,5,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.769275830891778,0.5946776574803151,0.07900375229234985,0.07118031289603502
446952114,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,10,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7797194309650246,0.6100639763779527,0.09180637564448921,0.08133146010888495
446952114,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,15,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.84546374290423,0.6706496062992127,0.02724098821136326,0.03201073440830246
446952114,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,20,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8549379120124521,0.6808956692913386,0.021477337515271002,0.026620396905972222
446952114,study_6_4_1_targetsamp,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,256,30,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8629204815967771,0.6929429133858268,0.015101837175433452,0.01985726170964798
695752405,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_1,256,5,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.5691799239427455,0.4169615611531867,0.18683715255889427,0.1464758479260911
695752405,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_1,256,10,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6982083897553728,0.5223365638440436,0.05074563959546623,0.04831006713750003
695752405,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_1,256,15,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.734935046676358,0.5577238483425516,0.05125283640346277,0.049159467916804284
695752405,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_1,256,20,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7268793951171453,0.5517919912173811,0.05090696152689389,0.04881856246826037
695752405,study_6_4_1_targetsamp,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_1,256,30,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7407444494387587,0.5655544345953787,0.03612137294376068,0.03720736489305333
