uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
640926818,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,essential_ph_1,256,5,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.700425518533635,0.5388415687067591,0.09646474669592828,0.09001067250999985
640926818,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,essential_ph_1,256,10,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7922267312997926,0.6244969325168377,0.06657214579049026,0.07544614717836862
640926818,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,essential_ph_1,256,15,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8172321587691229,0.6600388536300754,0.05873438216494612,0.06661564051650981
640926818,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,essential_ph_1,256,20,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8340204367702626,0.6750196692369173,0.056447420840897024,0.0650588414035281
640926818,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,essential_ph_1,256,30,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8533156821121942,0.7027158666172106,0.052066178844139534,0.06576336388364364
401707828,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,samsung_a50,256,5,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7271542563188123,0.5574428473535932,0.12402438887020466,0.11542947905187029
401707828,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,samsung_a50,256,10,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8029211466708783,0.6358127886104169,0.06452210411228543,0.06740830583634128
401707828,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,samsung_a50,256,15,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8165916309289836,0.6529479697436934,0.07510305987762658,0.08496238651558867
401707828,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,samsung_a50,256,20,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8362711097541426,0.6833297405539354,0.05909159310227252,0.0708835360964836
401707828,study_6_4_1_targetsamp,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,samsung_a50,256,30,adj_gin,ensemble,5,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8546712926582941,0.7025982846040172,0.05072510691657186,0.06327524569458565
