uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7663219877311848,0.5925836614173228,0.059179044887189135,0.052151820132913376
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.786557292620399,0.6084547244094489,0.06427159051014944,0.05842305976136393
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,9,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8207643403222852,0.6417593503937009,0.050578622744544985,0.04890490158874432
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,11,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.85748964246475,0.6795078740157481,0.019270662605900858,0.02227281525894003
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,13,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.843058219648416,0.6678469488188977,0.05346079419335803,0.0509998645793043
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,15,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8552708409631936,0.6769094488188978,0.025907531489607893,0.028064450465258666
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,17,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8688930026551913,0.6937352362204725,0.015622593871608737,0.018715622926399517
283851293,study_6_4_1b,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,eyeriss,512,24,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8634265702252335,0.6884719488188977,0.03511303403684542,0.03635443757002342
396678008,study_6_4_1b,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6226,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7401908648347596,0.5760317342310685,0.07303340723239868,0.07196144223411491
396678008,study_6_4_1b,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6226,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7532314756717428,0.5932950606473371,0.08763492635940308,0.08380199392388259
