uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,5,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6744847338377638,0.5126325009722825,0.014207537861699742,0.013746782954409087
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,7,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6913677930203818,0.5279815748712421,0.01766329218340802,0.01477249848344236
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,9,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7041350009226781,0.5377103486371511,0.01563006861674961,0.015392731372665367
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,11,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.726721718000784,0.5584637534003287,0.022283643648085938,0.02044233312738425
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,13,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7468658632519123,0.5771895136393039,0.02510375982011438,0.023351101511394266
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,15,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7630537294431744,0.592735121288355,0.023809938054375784,0.023973036645689765
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,17,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7791161463126256,0.6092385052737959,0.02196525996202448,0.0233955583974347
795555607,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,gold_6240,512,24,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7984424990524396,0.628927806065547,0.021502293710237163,0.02550229361812605
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,5,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6699755059639734,0.5076609840457423,0.029418812974158225,0.025900513399541535
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,7,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6837674979430108,0.5213073566407264,0.03858157297840076,0.03410458487696594
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,9,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7086269817942672,0.5438596904636709,0.03708789520482255,0.03463019503524385
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,11,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7255002715621536,0.5606521859072602,0.04587643219447303,0.04211614087729089
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,13,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7519916960266336,0.5857267392704527,0.040939301546989715,0.04110459792929394
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,15,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7635111567137078,0.5955314366776725,0.037806279505372596,0.038590949109775716
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,17,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7845582936561273,0.61931356157436,0.03589565005109345,0.038242610367909886
951780605,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,2,2080ti_32,512,24,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8009681777031024,0.6364672667399229,0.03132850406573698,0.03490792631542613
686579303,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,arch2vec,2,titanx_1,512,5,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6792010000064079,0.5127495173647674,0.04597574896870762,0.04166779324581042
686579303,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,arch2vec,2,titanx_1,512,7,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7015133455470304,0.5346434228539654,0.04969163128988235,0.04653053206168604
686579303,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,arch2vec,2,titanx_1,512,9,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7144404905724642,0.5449641262195906,0.046896798396596794,0.042735182882973365
686579303,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,arch2vec,2,titanx_1,512,11,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7415763955001327,0.5718132867026489,0.04025066854421101,0.03985396777643194
686579303,study_6_4_1b,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,arch2vec,2,titanx_1,512,13,adj_gin_a2vcatezcp,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7579689426132049,0.5896227745202396,0.041463763753794215,0.040642227381352355
