uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
430391423,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,200,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,nan,nan,nan,nan
430391423,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,200,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,nan,nan,nan,nan
430391423,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,200,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,nan,nan,nan,nan
430391423,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,nan,nan,nan,nan
718608005,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,eyeriss,200,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,nan,nan,nan,nan
718608005,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,eyeriss,200,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,nan,nan,nan,nan
718608005,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,eyeriss,200,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,nan,nan,nan,nan
718608005,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,eyeriss,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,nan,nan,nan,nan
102418976,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,200,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,nan,nan,nan,nan
102418976,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,200,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,nan,nan,nan,nan
102418976,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,200,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,nan,nan,nan,nan
102418976,study_6_5_f,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,nan,nan,nan,nan
198407302,study_6_5_f,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanx_32,200,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,nan,nan,nan,nan
