uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,15,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
745156039,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,30,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,nan,nan,nan,nan
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7066006874504058,0.522945374015748,0.04771227732705229,0.044768830507282975
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8095111930049441,0.6243520341207349,0.052640713160498134,0.06192645194593173
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8110495635719953,0.6343791010498688,0.05193371574404132,0.04989674517250399
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8382582173594579,0.6657029199475066,0.034632934184786336,0.035535771318914194
272354893,study_6_6_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,eyeriss,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8544605116584265,0.6762344160104988,0.01520394450844231,0.017583032015130243
