uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
114315878,arch_abl,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_256,512,5,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,True,True,0.6480549578831715,0.4749771512935883,0.13521099303171802,0.11528623701226201
114315878,arch_abl,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_256,512,10,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,True,True,0.7600977793836816,0.5666233127109113,0.057996604762469504,0.05691211807767169
114315878,arch_abl,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_256,512,20,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,True,True,0.7686864814136605,0.5817860658042745,0.07579188129503815,0.0697999444922239
599825163,arch_abl,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_256,512,5,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,False,0.6490057747142073,0.47298228346456705,0.09684383555469234,0.08278386701472049
599825163,arch_abl,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_256,512,10,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,False,0.6812294402516545,0.5017611079865019,0.09150063388949484,0.07955538660709852
599825163,arch_abl,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_256,512,20,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,False,0.7152390244460721,0.5321182508436446,0.08155739135469048,0.07237232629870373
77723844,arch_abl,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_256,512,5,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6278732374404272,0.4751315122867711,0.20422308307517514,0.17397543825999257
77723844,arch_abl,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_256,512,10,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7372719719193055,0.5677685375462901,0.08661612644507372,0.07975929638946015
77723844,arch_abl,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_256,512,20,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7568489645623625,0.5843013360475696,0.04844896774713775,0.04710661031157099
540273782,arch_abl,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanx_256,512,5,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.5919864804326784,0.41914370078740165,0.07255000377457314,0.0615076227431014
540273782,arch_abl,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanx_256,512,10,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6245854124702436,0.4466359673790777,0.08310442297438282,0.07276102805329078
540273782,arch_abl,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanx_256,512,20,adj_gin,dense,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6549145973395767,0.4737468363329585,0.0840493179432487,0.0731367806588267
