uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
295310485,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,samsung_a50,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7507427668925104,0.5717109580052495,0.03860721174967568,0.03370536948288198
295310485,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,samsung_a50,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8223054194897148,0.6409530839895015,0.030728308346908505,0.03488919304793264
295310485,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,samsung_a50,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8452480276811327,0.6633079068241472,0.01986256435934309,0.023653376739126507
262950628,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,gold_6240,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7177592626503082,0.5303969816272966,0.039988552453105106,0.03812832474995923
262950628,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,gold_6240,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8058389412805956,0.6167527887139108,0.02315887666178559,0.02716490157407463
262950628,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,gold_6240,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8289364356344991,0.6428723753280841,0.015445403802161431,0.018462105794056015
239670711,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,titanxp_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7407035875602759,0.5661089238845145,0.0869348185946246,0.08005536311858158
239670711,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,titanxp_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8031068790819752,0.6196850393700788,0.04542916382335124,0.04543898839416481
239670711,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,arch2vec,3,titanxp_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8399936290667153,0.6577673884514437,0.028272504738672453,0.03333421125534937
149827706,study_6_3_0,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,titanxp_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.821956734877617,0.6378280839895013,0.02348950136106328,0.02523818001699235
