uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
686579303,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,arch2vec,3,titanx_32,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9190441206129651,0.7729594206910343,0.035581332838423886,0.051491930880517525
686579303,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,arch2vec,3,titanx_32,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.948009162752348,0.8143091676271528,0.01382978347722336,0.0265806342479611
686579303,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,arch2vec,3,titanx_32,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9630600106039455,0.8473292598325832,0.006271134354947876,0.014352616704824897
119540831,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,zcp,3,pixel3,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8989121281982546,0.7440746958203235,0.01271231484093648,0.02026231337096205
119540831,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,zcp,3,pixel3,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9497766289153489,0.8197680799911231,0.010707712662315001,0.01769196674949743
119540831,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,zcp,3,pixel3,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9608167874447983,0.8430704031265884,0.00997618559770445,0.021212236609653816
26855092,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,cate,3,fpga,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9060570653654167,0.7582109402128554,0.019955446755695674,0.0280052532834514
26855092,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,cate,3,fpga,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9332140379045407,0.7891664992078666,0.017151224853005485,0.029728688582638156
26855092,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,cate,3,fpga,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9529166971158272,0.830105123361726,0.014774190172621932,0.026009765115616413
796233790,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,a2vcatezcp,3,gold_6226,256,5,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9059735773539022,0.7515490621184462,0.02772673761905467,0.03729318390199972
796233790,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,a2vcatezcp,3,gold_6226,256,10,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9516982284035869,0.8198831220032508,0.007562101720576336,0.01601450381773184
796233790,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,a2vcatezcp,3,gold_6226,256,20,adj_gin,ensemble,3,kmeans,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.9609620168522024,0.8418407828227528,0.005727815918109028,0.013159852593812258
795285932,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,zcp,3,samsung_a50,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7046101697629827,0.5143765290777652,0.060488355126359514,0.05196344000932024
795285932,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,zcp,3,samsung_a50,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.67060305175737,0.48381320011556583,0.07548774225991808,0.06290590610016175
795285932,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,zcp,3,samsung_a50,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6803395870184119,0.4850144901273893,0.05484008417291405,0.04596693618509092
957970516,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,arch2vec,3,fpga,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6524504930776629,0.4775781490000638,0.059897442245448754,0.05166840394149465
957970516,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,arch2vec,3,fpga,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7290134860757764,0.5410390371355935,0.05638472199792814,0.05098610608528083
957970516,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,arch2vec,3,fpga,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7863316944305093,0.5944946078469515,0.03257920812125582,0.0330201948670207
585582861,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,cate,3,fpga,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8259554129851521,0.6392824679681267,0.03005764261713368,0.03507541177423543
585582861,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,cate,3,fpga,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8268650534361154,0.6411646463397738,0.03996713549326418,0.04233450654431473
585582861,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,cate,3,fpga,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8855097449744269,0.7188300454902437,0.03040684232960534,0.037551957533963606
93349856,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,a2vcatezcp,3,titan_rtx_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.839773905551459,0.6798532991961459,0.030178160320720814,0.0395322210203869
93349856,study_6_3_0,42,nb201,desktop_gpu_gtx_1080ti_fp32|embedded_gpu_jetson_nano_fp16|eyeriss|mobile_dsp_snapdragon_675_hexagon_685_int8|mobile_gpu_snapdragon_855_adreno_640_int8,a2vcatezcp,3,titan_rtx_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8926343486504542,0.7232295833761434,0.01881228669313182,0.025390174653609304
