uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
671939435,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,titanxp_1,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6926373298531003,0.51340809041576,0.05048569296732364,0.046987509508028824
671939435,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,titanxp_1,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7272118283543044,0.5442491563554557,0.06533894190208618,0.06047048449372548
671939435,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,titanxp_1,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7336997982446961,0.5527137232845896,0.05175054549599454,0.050111718414767005
671939435,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,titanxp_1,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.77348376965234,0.5890027418447696,0.04963160396690498,0.05010125637956113
671939435,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,latency,3,titanxp_1,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7916192661600439,0.6084751124859393,0.041614065280878826,0.042623506631360816
276681108,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanx_1,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7184082095116017,0.5431453880764906,0.08016252577643182,0.0758606232624242
276681108,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanx_1,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7930925543264847,0.6126446878031636,0.06488088008629428,0.05983878227837499
276681108,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanx_1,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7988568289428937,0.6188466676040496,0.06204946324354327,0.060379519145881466
276681108,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanx_1,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8237687858058438,0.6410784589426323,0.04665474833548088,0.04984871087737995
276681108,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,latency,2,titanx_1,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.846675697151228,0.6672455005624298,0.02213304949229824,0.024973262690103134
943472542,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,silver_4114,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7125758217359457,0.5333977784026998,0.08691486775292993,0.08056885367355822
943472542,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,silver_4114,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7883998057655582,0.604161979752531,0.07631136427730781,0.07323212611317477
943472542,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,silver_4114,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8003652114343265,0.6202140748031497,0.07150691111977917,0.0700500610264604
943472542,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,silver_4114,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8175766228712689,0.6361958661417324,0.053613693243147596,0.05634489254403435
943472542,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,silver_4114,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8350063845580348,0.6569794010123735,0.03386442018438012,0.038088925002466724
415721250,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,2080ti_32,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6891910572726032,0.5226167041201653,0.12977863313021437,0.11351334009033616
415721250,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,2080ti_32,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.735723383290428,0.5621377430070104,0.05969196880149787,0.05781755610015227
415721250,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,2080ti_32,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7703050784052302,0.5966079276186033,0.027756431390979264,0.030184276051947845
415721250,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,2080ti_32,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.765028862965081,0.5898232259555873,0.03096489792019136,0.03587432756987949
415721250,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,latency,1,2080ti_32,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7783065885600939,0.6046681720666277,0.019732591932828992,0.020585643024547816
956061953,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6240,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6891104670822855,0.5220696061194448,0.1295418481485416,0.11496914622751161
956061953,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6240,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7546402256097627,0.5812533974527975,0.05071307748653529,0.053168045434998146
956061953,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6240,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7375488449322294,0.5660216532174001,0.07425422509284088,0.06872535120192083
956061953,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6240,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.752447912431078,0.5800019564518892,0.055803069594673085,0.05573656447571851
956061953,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,gold_6240,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7717306068309389,0.5998953570038086,0.029810675304651015,0.032270695672531303
874947794,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,gold_6240,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.658876170638554,0.4810672103487065,0.09450132600879525,0.0818760213381255
874947794,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,gold_6240,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6967963170664714,0.5115913245219348,0.0872347546370629,0.07697977881539084
874947794,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,gold_6240,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7105226263504852,0.5256046119235096,0.08284042505002698,0.07375640681327175
874947794,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,gold_6240,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7312665949459806,0.5440364876265468,0.07521479159136517,0.06902036027904582
874947794,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,gold_6240,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.755536499071337,0.5657585770528685,0.07961148193307938,0.07504691856954118
957970516,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,titanxp_32,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.48941438642844065,0.34007311586051747,0.11527660369422135,0.08379939428866963
957970516,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,titanxp_32,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.513239011520698,0.35826786261854093,0.11530923359501537,0.08599384641769056
957970516,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,titanxp_32,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.5081188800204887,0.3562124312038313,0.1383900896101979,0.10277913937900587
957970516,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,titanxp_32,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.5171827585868627,0.3624683633295839,0.13344959839984274,0.09939043414743672
957970516,study_6_3_1_t2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,titanxp_32,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.5165795363878932,0.36265115298087747,0.12908985072531404,0.09689380241561993
585582861,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,titanx_1,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6250530139037853,0.45032163948256476,0.05039948608151894,0.04163041548426856
585582861,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,titanx_1,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6921226325633715,0.5047173790776154,0.050027462357509725,0.04211704546465508
585582861,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,titanx_1,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.70806837281241,0.5171681664791902,0.037220882453057824,0.031811369309664196
585582861,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,titanx_1,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7400924085070761,0.5445110376827896,0.035260186026257495,0.03093555298206504
585582861,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,zcp,3,titanx_1,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7695355911778581,0.5721380401253688,0.032244042954571644,0.030978588875462287
93349856,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6226,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6705563369237545,0.49758932860017857,0.06683586380327275,0.06016106403642256
93349856,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6226,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6157574322987698,0.4501392994030636,0.07679091189820211,0.06689464712538813
93349856,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6226,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7341491698924802,0.5574255785911056,0.04401563506118387,0.043811327830587596
93349856,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6226,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7371231774958581,0.5612061353507704,0.051955779886668454,0.05154897033267487
93349856,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,arch2vec,1,gold_6226,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7595790139088902,0.5834263106822128,0.023074941703742097,0.02544502671200811
634036506,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,fpga,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6705331800821409,0.4880307930258718,0.054767028020685046,0.04976982799573818
634036506,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,fpga,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.605289536845685,0.4350323397075367,0.11537479604084795,0.09375326667578279
634036506,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,fpga,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6542897935359824,0.47611079865016875,0.11733151629660761,0.09664830790199067
634036506,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,fpga,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7302293699479424,0.5391205005624298,0.05356870194342892,0.05129665762543376
634036506,study_6_3_1_t2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,fpga,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7501428963821383,0.5580585629921261,0.04799156778268872,0.04858279507677833
453035110,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanxp_1,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6936052968589366,0.5212954942117303,0.03985343182904964,0.03778409964073365
453035110,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanxp_1,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7420731509957524,0.5660692386290231,0.05300757484812657,0.048511054857542875
453035110,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanxp_1,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7391372741778534,0.5611182813649801,0.05844451842877232,0.057775991179248844
453035110,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanxp_1,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.722004092646169,0.5455941812918235,0.04636673573463041,0.0427015093324286
453035110,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,zcp,1,titanxp_1,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7605251420968162,0.5835179078795939,0.031067970632689467,0.034260736122168
34126396,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,1080ti_1,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6294693280585977,0.46868030434032304,0.13833885836898865,0.11556887597545855
34126396,study_6_3_1_t2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,1080ti_1,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.31973062403855346,0.2169932672264137,0.0375140580952867,0.026978905593732415
