uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
589015467,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,titan_rtx_1,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6540232122227981,0.49730455159304043,0.03258522858510556,0.02880511739907362
589015467,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,titan_rtx_1,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6773359640239605,0.5170043932909169,0.037457238963139815,0.03402256324497595
589015467,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,titan_rtx_1,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6952004709634035,0.5327996115865702,0.044416401764979185,0.040455462574254544
589015467,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,titan_rtx_1,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7177155423167688,0.553628215893643,0.04413854806977493,0.04291427022877805
589015467,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,params,2,titan_rtx_1,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7432926184613267,0.5766068131520579,0.04085307387392604,0.04098876155371862
282232003,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,latency,2,pixel2,512,5,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6628373364494156,0.5041713188055258,0.02644939015010326,0.02208799516126875
282232003,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,latency,2,pixel2,512,10,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6882910712138008,0.5237926235976731,0.02728928234091042,0.023202610754692418
282232003,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,latency,2,pixel2,512,15,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7156086190364976,0.5489156313408127,0.03119236957699275,0.02696557881827518
282232003,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,latency,2,pixel2,512,20,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7426565657725387,0.573776192001034,0.033896985513300955,0.03235269389885879
282232003,study_6_3_1_t2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,latency,2,pixel2,512,30,adj_gin,ensemble,7,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.768669865984223,0.5993386100561271,0.0343740909751858,0.03601938607746829
