uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
635032128,study_6_5_f_2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6226,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.795781393059879,0.6190378937007875,0.07130096136220829,0.06424138464269868
60314355,study_6_5_f_2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6240,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.8251454060611609,0.6426599409448819,0.03232806562778786,0.03365049223967622
377895080,study_6_5_f_2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,1080ti_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7197409326724901,0.5439564999510191,0.0391085676940819,0.03781125618500039
544748834,study_6_5_f_2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,samsung_s7,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.8109198879182976,0.6330823868384242,0.06369134439361278,0.06349752381797806
79661615,study_6_5_f_2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.689044345139699,0.5114703479763705,0.0466919282939549,0.04344970171313267
333297890,study_6_5_f_2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,titanxp_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.8283011925471525,0.6431471456692914,0.030936133357655715,0.036529881757669025
686579303,study_6_5_f_2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,gold_6240,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.59910610356484,0.4354745271632683,0.09426937998917746,0.07327452451535008
495792218,study_6_5_f_2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanxp_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8308986449368249,0.6517618110236221,0.028074342552545917,0.03444845951794869
485238820,study_6_5_f_2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,2080ti_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.7039675621866718,0.5275821689217295,0.04426092129788296,0.04282764666298957
119540831,study_6_5_f_2,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,gold_6226,200,20,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.703746807628374,0.5325859832748503,0.05855425546104341,0.05855406311786571
26855092,study_6_5_f_2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,2080ti_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7920293902215712,0.6171382874015748,0.0713520479562466,0.06761108277544298
796233790,study_6_5_f_2,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,3,gold_6226,200,20,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8310286005310381,0.649421751968504,0.05369811730574546,0.056340542515260404
40380477,study_6_5_f_2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.819685325489837,0.6404404527559056,0.04689193243123416,0.05118050676874751
295310485,study_6_5_f_2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,2,titanxp_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8414750618018679,0.6660506889763781,0.026228370549432757,0.027205638550729893
262950628,study_6_5_f_2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,2,pixel2,200,20,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8285203602819996,0.6484424212598426,0.03363244813054668,0.0376334592669637
