uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
432352168,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanxp_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7198922613172638,0.5422767361541982,0.04493085713302275,0.04197683659416361
924388667,study_6_5_f_4k,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,2080ti_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.836233118934261,0.6502854330708663,0.02275619344796176,0.026884978259126925
533074594,study_6_5_f_4k,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.8102265496246108,0.6297367125984252,0.02194157704005558,0.023358046611753773
686579303,study_6_5_f_4k,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,2,silver_4114,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8336815029298663,0.6487647637795277,0.018004883656663754,0.020447601152855134
253349292,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,gold_6226,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7505123147800865,0.5744943116045891,0.038183049749052136,0.03972128209209396
966703206,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,2080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.731117263932995,0.5558095540440375,0.035907685391041076,0.03403767547532197
119540831,study_6_5_f_4k,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,2,samsung_s7,4000,20,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7999629761032777,0.6146062992125985,0.035905752392314895,0.03573248942090147
434956373,study_6_5_f_4k,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,titanx_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7805698933345541,0.597234251968504,0.044162042481187665,0.04395647248791158
26855092,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,1080ti_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6589301305598245,0.49325815678284685,0.07232170897020437,0.06016381511820277
796233790,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,titanx_32,4000,20,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7695660598900194,0.60120920395944,0.04827325617674107,0.044382426637295844
559088455,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,pixel3,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.7219017465878167,0.5435617856724021,0.03675929617058961,0.03651947309504794
295310485,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,titanxp_1,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6441844003852636,0.484696005188949,0.142842923606902,0.11585192679572906
775548733,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanxp_1,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7622643993922457,0.5870920565540527,0.022528256520817247,0.02443437696568223
262950628,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,1,titanx_32,4000,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7793124968632432,0.6091421122960455,0.03933736867102504,0.03951494262927984
3948031,study_6_5_f_4k,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,1080ti_1,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7035386477196993,0.5282219788604114,0.05230486279595792,0.051161447100639704
647388120,study_6_5_f_4k,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,2080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.7457868865592382,0.5657726377952756,0.02986592550683922,0.028358474107376276
763060026,study_6_5_f_4k,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanx_32,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.778979788244123,0.6060794576989992,0.03238506770660274,0.03284874815463368
239670711,study_6_5_f_4k,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,4,titanxp_1,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7709438700465007,0.6013248444366656,0.014860623356870828,0.015887980051281225
149827706,study_6_5_f_4k,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,4,2080ti_32,4000,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8308361155274456,0.6659110930773524,0.012339238245127544,0.015826792036412702
828864810,study_6_5_f_4k,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanx_1,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8053325105059294,0.6374132120474246,0.05095170612684256,0.044217951908010526
175430965,study_6_5_f_4k,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titanxp_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7547641085652811,0.5742464320866142,0.022442713550786565,0.022169088954830402
790779946,study_6_5_f_4k,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,0,titanxp_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7510819618659585,0.5712629183070868,0.018306607551965427,0.017325957328565074
494717042,study_6_5_f_4k,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,silver_4114,4000,20,adj_gin,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7578694614481852,0.5851125118204942,0.05185981388323682,0.048911063191603245
498689,study_6_5_f_4k,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titanxp_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7114493331445055,0.5239761513725608,0.04809503195307633,0.04686544733433239
