uid,name_desc,seed,space,source_devices,sampling_metric,task_index,metric_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,sampling_method,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
713363254,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,samsung_a50,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7466779588597936,0.5745898950131234,0.023423696662971633,0.022756518626167184
713363254,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,samsung_a50,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7733305865836537,0.5989419291338584,0.028052138904017233,0.023169934042225344
713363254,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,samsung_a50,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7798664202221816,0.6063689304461943,0.03626765641101357,0.031620546229505886
713363254,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,samsung_a50,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8242141243972408,0.6432824803149607,0.02266229678958849,0.024369802373022116
713363254,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,params,3,samsung_a50,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8481738883293659,0.668364501312336,0.015993954587787636,0.01860193796396656
788340979,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6226,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6867719283607852,0.513654659616671,0.04430839288967529,0.043921595346197516
788340979,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6226,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7495367721113348,0.5621596128608924,0.04477481344694399,0.040575069444780884
788340979,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6226,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.746491885643655,0.5657070209973755,0.04928534869064336,0.04120077081608034
788340979,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6226,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.785405317249588,0.6000533136482941,0.048452834495727064,0.047616820454453306
788340979,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,3,gold_6226,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8176232603918695,0.6321440288713911,0.035673615913381404,0.03762956342602091
924252660,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7790349562046023,0.5953904199475067,0.0383076620103194,0.0414536915077633
924252660,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8168438701702984,0.6347687007874018,0.03953459401327404,0.043060405928995564
924252660,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8222670794421045,0.6433891076115487,0.020105531604709376,0.02299199965282789
924252660,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8487295328999572,0.6714730971128611,0.01752271267932858,0.02215352349475462
924252660,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2,silver_4210r,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8420092473905877,0.6689550524934383,0.021016204147028823,0.02503375158423779
717490291,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,samsung_a50,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7040656663919915,0.5403297244094489,0.03252498877955252,0.034512068062391
717490291,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,samsung_a50,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7793307086614172,0.6048679461942259,0.0573143059819494,0.058112059549502014
717490291,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,samsung_a50,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7571106482329244,0.5853961614173229,0.04565464825110401,0.044960891587430885
717490291,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,samsung_a50,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8330718198742598,0.6533136482939634,0.016614182175802402,0.019658345017109984
717490291,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,2,samsung_a50,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8492712529756454,0.6713787729658793,0.02174651753098712,0.029404786345193612
91927283,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6843733691167749,0.5127483416501819,0.07634449385465356,0.07312569290610813
91927283,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7366724794302034,0.5668675248111056,0.0527096677249513,0.048004186477948955
91927283,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_32,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7427653383560278,0.5676241550675564,0.04241006392976711,0.04345912639346434
91927283,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_32,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7543384939214212,0.5815940171754306,0.024371219922004972,0.023098465430890537
91927283,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,params,1,titanxp_32,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7744967854273506,0.6004208644276764,0.02324134801356121,0.025656682507283278
370838810,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6665368628758952,0.4987678062342786,0.09882189063624151,0.08852572437280608
370838810,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7193472553717967,0.5454645091255568,0.05260849951457071,0.05019423755422496
370838810,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7319908196332822,0.5585823195830326,0.05722887748381102,0.05530285142740995
370838810,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7386977847644779,0.5663295492784012,0.05717028248418725,0.05442066712119624
370838810,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1,titanx_1,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7692744333169942,0.5941625657528938,0.019350328632902692,0.020745472631687085
377895080,study_6_3_1,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titan_rtx_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7873580210177216,0.5959372265966755,0.07222259074931568,0.06901429140101567
377895080,study_6_3_1,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titan_rtx_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8170569340169687,0.6224641841644796,0.03526104559798079,0.03803816141312879
377895080,study_6_3_1,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titan_rtx_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8307712898533032,0.6341863517060369,0.014174491549450203,0.01353616609087506
377895080,study_6_3_1,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titan_rtx_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.838322308185314,0.6442749343832023,0.010390806819492917,0.013806616358366488
377895080,study_6_3_1,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,random,0,titan_rtx_1,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8425823134753504,0.6491415135608051,0.006578310372598244,0.009807511202166616
28492780,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,titanx_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6717548714743699,0.4978163956460409,0.027212985297995533,0.027855799787489123
28492780,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,titanx_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7253935653156708,0.5459445395630645,0.01299085825366093,0.01214483286722733
28492780,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,titanx_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7291410759984477,0.549827146273974,0.01693343907412679,0.016575013217680214
28492780,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,titanx_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7331248921206392,0.5524875374334324,0.021120927237327596,0.021710076837979833
28492780,study_6_3_1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,cate,1,titanx_1,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7288255065496596,0.5476334454536745,0.016128502465195614,0.014979442808270937
602632297,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanxp_32,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7417186450894218,0.5655716863517062,0.018289753132943575,0.01696060043341479
602632297,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanxp_32,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7560194089883165,0.5733172748008051,0.039246256181620885,0.037674945286292595
602632297,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanxp_32,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8145434673136787,0.6347645997375329,0.03271922923879341,0.03172560261379754
602632297,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanxp_32,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8327361060245376,0.6518864829396327,0.016493943563801905,0.018066514406575144
602632297,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,arch2vec,2,titanxp_32,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8556190105597266,0.6781414041994752,0.009537241463257524,0.010938447023128925
544748834,study_6_3_1,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanxp_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7717442316675793,0.5937203410807083,0.0720952427718864,0.0742181044627888
544748834,study_6_3_1,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanxp_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7821552932735748,0.6100722905709052,0.04348330760889369,0.04015039661177778
544748834,study_6_3_1,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanxp_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7992643046276009,0.6238251803550678,0.037201525285233565,0.0344804826941903
544748834,study_6_3_1,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanxp_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8246187673345999,0.6483810211238997,0.012897096567962297,0.017233416572947188
544748834,study_6_3_1,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,random,4,titanxp_1,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7902838066634121,0.6186289089078437,0.05712032012668313,0.05338539523790078
213500298,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanxp_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7646362654886162,0.5716781496062993,0.040804382101328786,0.042185832415117246
213500298,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanxp_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7822489394494293,0.5897350721784778,0.04451590705708146,0.0470258084534961
213500298,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanxp_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7863651536653847,0.5940124671916012,0.045135369605061634,0.04921869579825434
213500298,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanxp_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8043563640664102,0.6127993766404202,0.030440578543926573,0.03658099629949706
213500298,study_6_3_1,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,cate,3,titanxp_1,256,30,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8287347212049074,0.6408054461942259,0.02519222304316094,0.03280046210610918
768820204,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,2080ti_1,256,5,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.769986323475554,0.5831036745406826,0.01778040866480223,0.019603402533285873
768820204,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,2080ti_1,256,10,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8101050822498932,0.6218093832020999,0.014852450330428433,0.0165937213502551
768820204,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,2080ti_1,256,15,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8021107054568759,0.6150836614173228,0.030636891717559754,0.027831332465185377
768820204,study_6_3_1,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,cate,2,2080ti_1,256,20,adj_gin,ensemble,3,cosine,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8184964025209057,0.629847440944882,0.011787087266261605,0.012672476528539292
