uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.5351369369163157,0.37484005905511814,0.1600661170936355,0.12404776870314556
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6824497001464932,0.4996432086614174,0.09282003744271333,0.07897797386550309
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7793939411279986,0.5825049212598425,0.011651882827322291,0.014971138543397532
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9110253387657938,0.7423105314960631,0.010710933755373285,0.015443613998625826
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,5,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9236040216993224,0.7636195866141733,0.020646253316901262,0.02731860555389486
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.6465851606848563,0.4722194881889764,0.16927696786174504,0.14427016843689439
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.717019547701886,0.5314591535433071,0.07845054541073845,0.06917375816062411
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7608468000366233,0.5607898622047245,0.03526048811286966,0.02960316252041472
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.869181182475737,0.6900344488188977,0.03312561131254821,0.04103707021406544
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,7,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9391537722028931,0.7877706692913387,0.005244339852845901,0.008031139474821009
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,9,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7482286325764511,0.5629306102362206,0.13553122959072206,0.11961996852460238
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,9,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.711706876030031,0.5226624015748033,0.040215394002059104,0.033032034413050776
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,9,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7967368041567477,0.5979576771653544,0.03286876050214417,0.03251277160264305
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,9,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9150856642556308,0.7506643700787403,0.03493400442251213,0.04723045011919842
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,9,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9320637245925655,0.774581692913386,0.009343725205287522,0.012129283284226931
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,11,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8626138756637978,0.6759965551181103,0.02229463330897012,0.028161503640829443
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,11,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7609520921076726,0.5677411417322835,0.03549910044957819,0.03197449642590121
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,11,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7953434009338948,0.5981791338582678,0.0200917794757158,0.021963620443915227
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,11,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9346027513275956,0.778284940944882,0.008697297621734962,0.011816238493598913
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,11,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9339360922907891,0.7773375984251969,0.009770502173505216,0.017448217290455377
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,13,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7953977636879692,0.6174704724409449,0.1689211237161867,0.15594497456714762
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,13,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7363721159128364,0.5445989173228348,0.06594824066373023,0.05975353646007795
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,13,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8074740203259477,0.6108759842519687,0.021999179770774657,0.021707846747892137
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,13,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9326087827321003,0.7743110236220473,0.008138017175014639,0.01331320174904618
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,13,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9434384155832264,0.791978346456693,0.0022974096410839245,0.004279763372357634
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,15,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.858976721296466,0.6736343503937009,0.049847998611898814,0.05532195185787317
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,15,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.755485774125618,0.5592150590551181,0.03630237174448564,0.032391662561803286
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,15,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.792270474729903,0.5939222440944883,0.025207472329485527,0.025591006630183856
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,15,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9299876396264419,0.7701033464566931,0.008340530400673202,0.013938301121795714
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,15,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9396335950375387,0.7876722440944883,0.009839284361496283,0.013079330154637303
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,17,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8837984686870536,0.7039616141732286,0.02147630693302807,0.026839500633082075
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,17,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.7777653474638344,0.5841412401574804,0.03651074742886691,0.03566728268421543
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,17,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8022308757553562,0.6043553149606301,0.00793991925281558,0.010425175291982357
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titan_rtx_1,512,17,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9362393563449917,0.7812500000000001,0.008068269923750322,0.014292797177117846
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,titanxp_1,512,17,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.9444309650247208,0.7949680118110237,0.004117725819582804,0.006353358845599871
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_1,512,24,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.8303484366416406,0.6464936023622049,0.09664747767822485,0.10199661709300303
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,1080ti_32,512,24,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.801455491210401,0.6044537401574804,0.021488283788665713,0.021251140247423774
283851293,study_6_4_1b,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,params,eyeriss,2080ti_32,512,24,adj_gin_arch2vec,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,20,cuda:0,False,True,0.796354834279436,0.6037278543307087,0.048805359118574365,0.04206621912041428
