uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
635032128,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6226,1080ti_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6718054728987365,0.505708661417323,0.2136723812580325,0.1705556897480695
635032128,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6226,1080ti_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6869503639443325,0.4957923228346458,0.07888137924639109,0.0666456356299186
635032128,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6226,2080ti_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.891863326313862,0.7188853346456694,0.01932371613840703,0.02544392474649625
635032128,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6226,titan_rtx_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9070039255630837,0.7464320866141734,0.019412453124245006,0.02961713365455394
635032128,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6226,titan_rtx_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8212838765793811,0.6283710629921261,0.02521487704396576,0.028944539434455158
60314355,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6240,1080ti_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.7614407846548252,0.5753690944881891,0.08266760113929002,0.0784099077548105
60314355,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6240,1080ti_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.747070133675151,0.5470718503937009,0.03155171674859773,0.027971296538080507
60314355,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6240,2080ti_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.8962887406152719,0.7234990157480314,0.013889634731738862,0.01742563837943237
60314355,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6240,titan_rtx_1,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.9083867423548802,0.7467519685039371,0.01598264133860993,0.02443203548440479
60314355,study_6_5_f_2,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,random,gold_6240,titan_rtx_32,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.8125406290056766,0.6206077755905512,0.017548734180702744,0.02001358304165293
377895080,study_6_5_f_2,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1080ti_32,eyeriss,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.8274823750228896,0.6348425196850395,0.02023261844577448,0.021582719324135715
377895080,study_6_5_f_2,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1080ti_32,fpga,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.8034743522248672,0.6077632874015749,0.02045171059130072,0.02160691589692997
377895080,study_6_5_f_2,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,1080ti_32,raspi4,200,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7072056399926753,0.5155142716535434,0.05946101108949652,0.051256837869253905
