uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
686579303,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,zcp,gold_6226,titanx_1,200,20,adj_gin,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9358190464200696,0.7941683070866143,0.0,0.0
686579303,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,zcp,gold_6226,titanx_32,200,20,adj_gin,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6912367240432155,0.501599409448819,0.0,0.0
686579303,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,zcp,gold_6226,titanx_64,200,20,adj_gin,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.5174704724409449,0.3552534448818898,0.0,0.0
686579303,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,zcp,gold_6226,gold_6240,200,20,adj_gin,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6666804957883171,0.47779281496063,0.0,0.0
119540831,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,gold_6226,fpga,200,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8886965528291522,0.7097071850393704,0.0,0.0
119540831,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,gold_6226,raspi4,200,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9001027169932246,0.7221948818897639,0.0,0.0
119540831,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,gold_6226,eyeriss,200,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8374381981322101,0.6428395669291339,0.0,0.0
26855092,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_1,fpga,800,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,40,30,cuda:0,False,True,0.9215602682658853,0.7612573818897639,0.0,0.0
26855092,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_1,raspi4,800,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,40,30,cuda:0,False,True,0.921063850485259,0.7495078740157481,0.0,0.0
26855092,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_1,eyeriss,800,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,40,30,cuda:0,False,True,0.8862058803332724,0.7070620078740159,0.0,0.0
796233790,study_6_5_f_f0,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_1,fpga,200,20,adj_gin_a2vcatezcp,ensemble,1,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,40,50,cuda:0,False,True,0.8138181624635861,0.621180168010916,0.0,0.0
