uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
686579303,study_6_5_f_fnl,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,fpga,1080ti_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.890336495910395,0.7191806102362205,0.019253892659219198,0.025535828437213002
686579303,study_6_5_f_fnl,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,fpga,1080ti_32,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7835184528169444,0.5910433070866142,0.014321114809596991,0.008977646850211856
686579303,study_6_5_f_fnl,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,fpga,2080ti_32,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7024859992064943,0.5096169619422573,0.07244272483979564,0.057748323255238335
686579303,study_6_5_f_fnl,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,fpga,titan_rtx_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9331099691753647,0.7757750984251969,0.007885639303509415,0.015626775944291415
686579303,study_6_5_f_fnl,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,fpga,titanxp_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9261639351767075,0.7683111876640422,0.011437540442858968,0.019969817993751988
119540831,study_6_5_f_fnl,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,eyeriss,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8745140732771776,0.6885457677165356,0.021586198180273432,0.030081305619782044
119540831,study_6_5_f_fnl,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,fpga,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.796133949826039,0.5980150918635171,0.03671473916124528,0.037889983473830866
119540831,study_6_5_f_fnl,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,raspi4,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8126235083623268,0.6113845144356956,0.03491609624834777,0.03434765760009616
119540831,study_6_5_f_fnl,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,samsung_a50,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6825081333707939,0.5502973624948639,0.018517235722036795,0.01625976966870688
119540831,study_6_5_f_fnl,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,samsung_s7,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.5774427533680272,0.4371531815490933,0.05299507093212902,0.04280028102549763
26855092,study_6_5_f_fnl,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,silver_4114,1080ti_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8499425853018372,0.6667486876640422,0.03359913686549417,0.04317384023165087
26855092,study_6_5_f_fnl,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,silver_4114,1080ti_32,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.74437154748825,0.553231627296588,0.05024752838836389,0.043242299041850195
26855092,study_6_5_f_fnl,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,silver_4114,2080ti_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8881190677836782,0.7099122375328085,0.008787019632341284,0.01264706863547046
26855092,study_6_5_f_fnl,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,silver_4114,titan_rtx_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9203199391137153,0.7577509842519685,0.014351805626067774,0.0208795601346693
26855092,study_6_5_f_fnl,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,silver_4114,titan_rtx_32,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8147660684856253,0.629162565616798,0.03677666985229312,0.04052714044694267
796233790,study_6_5_f_fnl,4,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,2080ti_32,1080ti_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.929800517304523,0.7745857939632547,0.008405515795599852,0.014488173978191925
796233790,study_6_5_f_fnl,4,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,2080ti_32,pixel2,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7239567865020012,0.5601027656825365,0.113385356300706,0.11228256137843469
796233790,study_6_5_f_fnl,4,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,2080ti_32,essential_ph_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.39771705763206916,0.29294464631252587,0.2967998548827645,0.21608484060016525
295310485,study_6_5_f_fnl,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_32,titanx_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9477230589635598,0.8032111220472441,0.006948162808610942,0.011533833655511631
295310485,study_6_5_f_fnl,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_32,titanx_32,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7495646211011415,0.5521038385826773,0.04872301460184605,0.04550047833383612
295310485,study_6_5_f_fnl,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_32,titanx_64,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6416783975767564,0.4589074803149607,0.04350796845758476,0.03797759289804321
295310485,study_6_5_f_fnl,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,2080ti_32,gold_6240,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7613689685954954,0.5674212598425198,0.017857588075271928,0.01589750703949629
262950628,study_6_5_f_fnl,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,pixel3,gold_6226,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.5179583066288226,0.35273129921259844,0.024932638185161587,0.009390911702406926
262950628,study_6_5_f_fnl,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,pixel3,essential_ph_1,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.4992869263103799,0.35401515757816754,0.09548723410956063,0.06927655483625107
262950628,study_6_5_f_fnl,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,pixel3,samsung_s7,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.4820749735837775,0.36016432798016,0.06702949574513449,0.057837382111201895
262950628,study_6_5_f_fnl,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,pixel3,pixel2,800,20,adj_gin_arch2vec,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6348366671012102,0.4630770897375302,0.021405430685005233,0.019680534913426858
