uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
686579303,study_6_5_f_zcp,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,eyeriss,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8899025476103278,0.7124958989501314,0.03684712558119136,0.04789993768260349
686579303,study_6_5_f_zcp,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,fpga,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9332916552218764,0.7742577099737534,0.008283482134430952,0.013232830355495991
686579303,study_6_5_f_zcp,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,raspi4,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8991523225294514,0.721825787401575,0.00522222962341424,0.012036668695216773
686579303,study_6_5_f_zcp,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,samsung_a50,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6703656994129789,0.5393243759270524,0.015317555729242916,0.014663384563205808
686579303,study_6_5_f_zcp,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_32,samsung_s7,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.6503174657682202,0.5162487471772144,0.031516733328498574,0.04164173443060093
119540831,study_6_5_f_zcp,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,fpga,1080ti_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.700331040560337,0.5161376312335958,0.10171196375340244,0.0966127796579314
119540831,study_6_5_f_zcp,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,fpga,1080ti_32,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8048458195995849,0.6078781167979005,0.04851824441366224,0.05244890862431683
119540831,study_6_5_f_zcp,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,fpga,2080ti_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8206091108160898,0.625758694225722,0.06565966187409154,0.07415840720645764
119540831,study_6_5_f_zcp,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,fpga,titan_rtx_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8916445400720258,0.7148540026246719,0.014300069367818304,0.022435985151245928
119540831,study_6_5_f_zcp,3,42,fbnet,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,a2vcatezcp,fpga,titan_rtx_32,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8543154489409753,0.6653748359580054,0.0016930387064479921,0.004540049285800518
26855092,study_6_5_f_zcp,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,samsung_a50,1080ti_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8708145448025393,0.6999466863517062,0.032990161181697945,0.04759313870992665
26855092,study_6_5_f_zcp,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,samsung_a50,1080ti_32,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.819551421442959,0.6224163385826772,0.03933877945311804,0.043916126556260274
26855092,study_6_5_f_zcp,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,samsung_a50,2080ti_32,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8147264885857292,0.6224368438320211,0.0321226051889786,0.030708717828614094
26855092,study_6_5_f_zcp,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,samsung_a50,titan_rtx_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.924043787767808,0.7657070209973754,0.006203897623830779,0.013793556748763453
26855092,study_6_5_f_zcp,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,samsung_a50,titanxp_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9278987746444485,0.7739911417322837,0.010833624080521801,0.01592699621743829
796233790,study_6_5_f_zcp,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,titan_rtx_1,fpga,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9584530267655497,0.8281660104986878,0.008663545512904124,0.019861257917510353
796233790,study_6_5_f_zcp,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,titan_rtx_1,raspi4,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9479858122749191,0.8062048884514437,0.009726296859150085,0.015615821070281788
796233790,study_6_5_f_zcp,0,42,fbnet,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,a2vcatezcp,titan_rtx_1,eyeriss,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.9768853384605993,0.8710014763779529,0.003808078482881819,0.011276134736197813
295310485,study_6_5_f_zcp,4,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_1,1080ti_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8694101736556186,0.7002542650918636,0.06272165619979944,0.07797221296752116
295310485,study_6_5_f_zcp,4,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_1,pixel2,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8419380059005649,0.6855102454870542,0.07058989024675431,0.076846360269954
295310485,study_6_5_f_zcp,4,42,fbnet,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,a2vcatezcp,titanxp_1,essential_ph_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.4906181838692012,0.3727639519991475,0.29186765701598033,0.21800348316757473
262950628,study_6_5_f_zcp,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,silver_4114,gold_6226,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.5479894364585239,0.37664041994750663,0.03761939501904479,0.03017309642210778
262950628,study_6_5_f_zcp,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,silver_4114,essential_ph_1,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.5367141698321566,0.39184980339848224,0.04555099589082485,0.03865181931973568
262950628,study_6_5_f_zcp,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,silver_4114,samsung_s7,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.51062158102006,0.37334692225151356,0.11081088636641265,0.09080088149949157
262950628,study_6_5_f_zcp,5,42,fbnet,1080ti_1|1080ti_32|1080ti_64|2080ti_1|2080ti_32|2080ti_64|titan_rtx_1|titan_rtx_32|titan_rtx_64|titanx_1|titanx_32|titanx_64|titanxp_1|titanxp_32|titanxp_64,a2vcatezcp,silver_4114,pixel2,800,20,adj_gin_zcp,ensemble,3,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7140260083430187,0.5481591961773442,0.12073141336544342,0.1115130515454307
