uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_gpu_jetson_nano_fp16,256,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.5845817366253057,0.4360358565598002,0.2204040034988222,0.18284079613883583
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_tpu_edge_tpu_int8,256,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7464146634793607,0.5566952030270031,0.042080991252992445,0.049716447730430983
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_675_hexagon_685_int8,256,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.795353676470697,0.6212229258528006,0.05402182737939779,0.06403027620732567
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_855_hexagon_690_int8,256,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8456564947137964,0.6896559576460872,0.032835964897240215,0.04044072353346972
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,pixel3,256,5,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.5301210213790148,0.3905979004481045,0.13298094645118877,0.11302511893993698
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_gpu_jetson_nano_fp16,256,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8270911205111882,0.6483921273067754,0.06628441964417156,0.07113717933001995
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_tpu_edge_tpu_int8,256,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8152752893485967,0.6436387655853488,0.05517610339247987,0.07321895513825502
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_675_hexagon_685_int8,256,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8009647266702288,0.6295874174181041,0.03433254386431815,0.04274476557143568
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_855_hexagon_690_int8,256,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.827655605461189,0.6659967730504794,0.028595589500903282,0.04943554786024159
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,pixel3,256,10,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.6901469145077608,0.5348695792234808,0.14847207255057843,0.14069428799189088
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_gpu_jetson_nano_fp16,256,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8723394075900017,0.7169156249710491,0.008215558008829725,0.015216764208968782
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_tpu_edge_tpu_int8,256,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8298297329940694,0.6681213109914029,0.047864868563127695,0.0662005053415443
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_675_hexagon_685_int8,256,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8236003296978252,0.6623621756120512,0.017450985693078472,0.02983168751493605
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_855_hexagon_690_int8,256,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8316088747556432,0.674949324734599,0.08391829953657659,0.08952153882908474
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,pixel3,256,15,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.7287824488080753,0.5778458318412749,0.1362221990231181,0.13230770668801514
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_gpu_jetson_nano_fp16,256,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8533466064422448,0.6882022943224104,0.061391662498029284,0.07285263161369916
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,embedded_tpu_edge_tpu_int8,256,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8389690323089084,0.6756878610749439,0.05235000630355444,0.06899877634333194
640926818,study_6_4_1_targetsamp,2,42,nb201,1080ti_1|1080ti_32|titanx_32|titanxp_1|titanxp_32,random,essential_ph_1,mobile_dsp_snapdragon_675_hexagon_685_int8,256,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,40,cuda:0,False,True,0.8442894477195828,0.6859678589518718,0.011356599911332026,0.021252543509112112
