uid,name_desc,task_index,seed,space,source_devices,sampling_metric,metric_device,target_device,sample_sizes,transfer_sample_size,representation,gnn_type,num_trials,opfpgcn,fgcn,rbgcn,efm,fcd,lr,weight_decay,epochs,transfer_epochs,cpu_gpu_device,hwemb_to_mlp,transfer_hwemb,spr,kdt,spr_std,kdt_std
432352168,study_6_5_f_4k,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,titanxp_32,eyeriss,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7719645554843435,0.5820250984251969,0.0708071658396265,0.06964620107538906
432352168,study_6_5_f_4k,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,titanxp_32,fpga,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7814829014832447,0.5860605314960631,0.038518971880032546,0.03449604380443073
432352168,study_6_5_f_4k,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,titanxp_32,raspi4,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.7429746154550448,0.5409448818897639,0.04116729335147667,0.0332322760529424
432352168,study_6_5_f_4k,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,titanxp_32,samsung_a50,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.672950134437427,0.52764210885866,0.025626382863944572,0.02541121214299261
432352168,study_6_5_f_4k,1,42,fbnet,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,random,titanxp_32,samsung_s7,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,False,0.6300890997262585,0.47471106010130715,0.04853447173003346,0.04709844989506324
924388667,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2080ti_1,1080ti_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8422232649697857,0.6570620078740159,0.012362373896432894,0.01700464413229057
924388667,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2080ti_1,1080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7538734892876763,0.5495078740157482,0.0500153318162954,0.04692380614756938
924388667,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2080ti_1,2080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7898147088445339,0.5915969488188977,0.014506900867611135,0.015475239814796685
924388667,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2080ti_1,titan_rtx_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8970621223219188,0.7267839566929134,0.014023125531334847,0.0218611978502767
924388667,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,2080ti_1,titanxp_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8981920092473906,0.726476377952756,0.022873235128134512,0.03316000335070129
533074594,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,titanx_32,1080ti_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.8303109549533051,0.6453494094488189,0.022496168442495287,0.024251826697739606
533074594,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,titanx_32,1080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.6530363028749313,0.46513287401574815,0.025556164797890774,0.022467969906707637
533074594,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,titanx_32,2080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.7583544108221937,0.557849409448819,0.035606591684104925,0.03176954825525174
533074594,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,titanx_32,titan_rtx_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.9076760208752976,0.7449311023622048,0.0037111217707271366,0.00909390030844413
533074594,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,random,titanx_32,titanxp_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,True,True,0.9017550585973264,0.7354207677165355,0.02233783850505979,0.029206987890625757
686579303,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,silver_4114,1080ti_1,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.8398384567844717,0.6517593503937009,0.007592588240784355,0.010278837881006605
686579303,study_6_5_f_4k,2,42,fbnet,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,a2vcatezcp,silver_4114,1080ti_32,4000,20,adj_gin,ensemble,5,128_128,128_128_128,128_128_128,add,128_128,0.001,1e-05,150,30,cuda:0,False,True,0.7627958478300678,0.5594242125984252,0.032685270731515566,0.03364473918570998
