Loading Files for NASBench101...
Loading dataset from file... This may take a few minutes...
Loaded dataset in 50 seconds
Loaded files in:  81.93333745002747  seconds
Normalizing ZCP dict
Epoch 1/150 | Train Loss: 0.1027 | Epoch Time: 0.92s | Spearman@80: 0.2110 | Kendall@80: 0.1431
Epoch 2/150 | Train Loss: 0.1006 | Epoch Time: 0.21s | Spearman@80: 0.4952 | Kendall@80: 0.3400
Epoch 3/150 | Train Loss: 0.1014 | Epoch Time: 0.21s | Spearman@80: 0.3578 | Kendall@80: 0.2324
Epoch 4/150 | Train Loss: 0.0936 | Epoch Time: 0.21s | Spearman@80: 0.4216 | Kendall@80: 0.2830
Epoch 5/150 | Train Loss: 0.0871 | Epoch Time: 0.20s | Spearman@80: 0.5886 | Kendall@80: 0.4103
Epoch 6/150 | Train Loss: 0.0792 | Epoch Time: 0.20s | Spearman@80: 0.5147 | Kendall@80: 0.3558
Epoch 7/150 | Train Loss: 0.0529 | Epoch Time: 0.20s | Spearman@80: 0.3872 | Kendall@80: 0.2539
Epoch 8/150 | Train Loss: 0.0442 | Epoch Time: 0.20s | Spearman@80: 0.6966 | Kendall@80: 0.4919
Epoch 9/150 | Train Loss: 0.0525 | Epoch Time: 0.20s | Spearman@80: 0.7051 | Kendall@80: 0.5135
Epoch 10/150 | Train Loss: 0.0474 | Epoch Time: 0.20s | Spearman@80: 0.6464 | Kendall@80: 0.4672
Epoch 11/150 | Train Loss: 0.0294 | Epoch Time: 0.21s | Spearman@80: 0.5859 | Kendall@80: 0.4071
Epoch 12/150 | Train Loss: 0.0314 | Epoch Time: 0.20s | Spearman@80: 0.5608 | Kendall@80: 0.3856
Epoch 13/150 | Train Loss: 0.0360 | Epoch Time: 0.20s | Spearman@80: 0.5112 | Kendall@80: 0.3533
Epoch 14/150 | Train Loss: 0.0456 | Epoch Time: 0.20s | Spearman@80: 0.6760 | Kendall@80: 0.4850
Epoch 15/150 | Train Loss: 0.0407 | Epoch Time: 0.20s | Spearman@80: 0.6270 | Kendall@80: 0.4406
Epoch 16/150 | Train Loss: 0.0352 | Epoch Time: 0.20s | Spearman@80: 0.6825 | Kendall@80: 0.4742
Epoch 17/150 | Train Loss: 0.0402 | Epoch Time: 0.20s | Spearman@80: 0.5940 | Kendall@80: 0.4115
Epoch 18/150 | Train Loss: 0.0246 | Epoch Time: 0.20s | Spearman@80: 0.6016 | Kendall@80: 0.4147
Epoch 19/150 | Train Loss: 0.0311 | Epoch Time: 0.21s | Spearman@80: 0.5790 | Kendall@80: 0.4103
Epoch 20/150 | Train Loss: 0.0505 | Epoch Time: 0.20s | Spearman@80: 0.5690 | Kendall@80: 0.3995
Epoch 21/150 | Train Loss: 0.0260 | Epoch Time: 0.20s | Spearman@80: 0.3710 | Kendall@80: 0.2608
Epoch 22/150 | Train Loss: 0.0238 | Epoch Time: 0.20s | Spearman@80: 0.3606 | Kendall@80: 0.2596
Epoch 23/150 | Train Loss: 0.0300 | Epoch Time: 0.20s | Spearman@80: 0.4899 | Kendall@80: 0.3501
Epoch 24/150 | Train Loss: 0.0424 | Epoch Time: 0.20s | Spearman@80: 0.4049 | Kendall@80: 0.2963
Epoch 25/150 | Train Loss: 0.0256 | Epoch Time: 0.20s | Spearman@80: 0.5998 | Kendall@80: 0.4349
Epoch 26/150 | Train Loss: 0.0192 | Epoch Time: 0.20s | Spearman@80: 0.5765 | Kendall@80: 0.4198
Epoch 27/150 | Train Loss: 0.0329 | Epoch Time: 0.20s | Spearman@80: 0.6721 | Kendall@80: 0.4875
Epoch 28/150 | Train Loss: 0.0291 | Epoch Time: 0.20s | Spearman@80: 0.7105 | Kendall@80: 0.5280
Epoch 29/150 | Train Loss: 0.0188 | Epoch Time: 0.20s | Spearman@80: 0.7268 | Kendall@80: 0.5438
Epoch 30/150 | Train Loss: 0.0409 | Epoch Time: 0.20s | Spearman@80: 0.7073 | Kendall@80: 0.5179
Epoch 31/150 | Train Loss: 0.0163 | Epoch Time: 0.20s | Spearman@80: 0.6283 | Kendall@80: 0.4723
Epoch 32/150 | Train Loss: 0.0281 | Epoch Time: 0.20s | Spearman@80: 0.6889 | Kendall@80: 0.5192
Epoch 33/150 | Train Loss: 0.0151 | Epoch Time: 0.20s | Spearman@80: 0.5669 | Kendall@80: 0.4210
Epoch 34/150 | Train Loss: 0.0208 | Epoch Time: 0.20s | Spearman@80: 0.6319 | Kendall@80: 0.4767
Epoch 35/150 | Train Loss: 0.0225 | Epoch Time: 0.20s | Spearman@80: 0.5845 | Kendall@80: 0.4337
Epoch 36/150 | Train Loss: 0.0285 | Epoch Time: 0.20s | Spearman@80: 0.5161 | Kendall@80: 0.3685
Epoch 37/150 | Train Loss: 0.0362 | Epoch Time: 0.21s | Spearman@80: 0.5630 | Kendall@80: 0.4122
Epoch 38/150 | Train Loss: 0.0109 | Epoch Time: 0.20s | Spearman@80: 0.6574 | Kendall@80: 0.4919
Epoch 39/150 | Train Loss: 0.0278 | Epoch Time: 0.20s | Spearman@80: 0.6201 | Kendall@80: 0.4628
Epoch 40/150 | Train Loss: 0.0264 | Epoch Time: 0.20s | Spearman@80: 0.6160 | Kendall@80: 0.4615
Epoch 41/150 | Train Loss: 0.0205 | Epoch Time: 0.20s | Spearman@80: 0.6302 | Kendall@80: 0.4704
Epoch 42/150 | Train Loss: 0.0169 | Epoch Time: 0.21s | Spearman@80: 0.5923 | Kendall@80: 0.4406
Epoch 43/150 | Train Loss: 0.0191 | Epoch Time: 0.20s | Spearman@80: 0.6530 | Kendall@80: 0.4837
Epoch 44/150 | Train Loss: 0.0276 | Epoch Time: 0.20s | Spearman@80: 0.4641 | Kendall@80: 0.3476
Epoch 45/150 | Train Loss: 0.0090 | Epoch Time: 0.20s | Spearman@80: 0.6338 | Kendall@80: 0.4685
Epoch 46/150 | Train Loss: 0.0160 | Epoch Time: 0.20s | Spearman@80: 0.5639 | Kendall@80: 0.4261
Epoch 47/150 | Train Loss: 0.0194 | Epoch Time: 0.20s | Spearman@80: 0.6370 | Kendall@80: 0.4799
Epoch 48/150 | Train Loss: 0.0133 | Epoch Time: 0.20s | Spearman@80: 0.6862 | Kendall@80: 0.5078
Epoch 49/150 | Train Loss: 0.0086 | Epoch Time: 0.20s | Spearman@80: 0.6444 | Kendall@80: 0.4780
Epoch 50/150 | Train Loss: 0.0232 | Epoch Time: 0.20s | Spearman@80: 0.5781 | Kendall@80: 0.4160
Epoch 51/150 | Train Loss: 0.0273 | Epoch Time: 0.20s | Spearman@80: 0.5860 | Kendall@80: 0.4179
Epoch 52/150 | Train Loss: 0.0213 | Epoch Time: 0.20s | Spearman@80: 0.5844 | Kendall@80: 0.4198
Epoch 53/150 | Train Loss: 0.0125 | Epoch Time: 0.20s | Spearman@80: 0.6181 | Kendall@80: 0.4438
