Loading Files for NASBench101...
Loading dataset from file... This may take a few minutes...
Loaded dataset in 48 seconds
Loaded files in:  76.13930082321167  seconds
Normalizing ZCP dict
Epoch 1/150 | Train Loss: 0.1011 | Epoch Time: 0.58s | Spearman@80: -0.4580 | Kendall@80: -0.3190
Epoch 2/150 | Train Loss: 0.0957 | Epoch Time: 0.05s | Spearman@80: -0.4353 | Kendall@80: -0.3000
Epoch 3/150 | Train Loss: 0.1024 | Epoch Time: 0.05s | Spearman@80: -0.4319 | Kendall@80: -0.2956
Epoch 4/150 | Train Loss: 0.0987 | Epoch Time: 0.04s | Spearman@80: -0.4346 | Kendall@80: -0.2962
Epoch 5/150 | Train Loss: 0.0963 | Epoch Time: 0.04s | Spearman@80: -0.4356 | Kendall@80: -0.2975
Epoch 6/150 | Train Loss: 0.1019 | Epoch Time: 0.04s | Spearman@80: -0.4326 | Kendall@80: -0.2930
Epoch 7/150 | Train Loss: 0.0968 | Epoch Time: 0.04s | Spearman@80: -0.4314 | Kendall@80: -0.2937
Epoch 8/150 | Train Loss: 0.0954 | Epoch Time: 0.04s | Spearman@80: -0.4284 | Kendall@80: -0.2918
Epoch 9/150 | Train Loss: 0.0987 | Epoch Time: 0.04s | Spearman@80: -0.4281 | Kendall@80: -0.2911
Epoch 10/150 | Train Loss: 0.0996 | Epoch Time: 0.04s | Spearman@80: -0.4273 | Kendall@80: -0.2918
Epoch 11/150 | Train Loss: 0.0952 | Epoch Time: 0.04s | Spearman@80: -0.4251 | Kendall@80: -0.2892
Epoch 12/150 | Train Loss: 0.0853 | Epoch Time: 0.04s | Spearman@80: -0.4223 | Kendall@80: -0.2892
Epoch 13/150 | Train Loss: 0.0898 | Epoch Time: 0.04s | Spearman@80: -0.4212 | Kendall@80: -0.2886
Epoch 14/150 | Train Loss: 0.0858 | Epoch Time: 0.04s | Spearman@80: -0.4087 | Kendall@80: -0.2829
Epoch 15/150 | Train Loss: 0.0847 | Epoch Time: 0.04s | Spearman@80: -0.3911 | Kendall@80: -0.2690
Epoch 16/150 | Train Loss: 0.0799 | Epoch Time: 0.04s | Spearman@80: -0.3763 | Kendall@80: -0.2627
Epoch 17/150 | Train Loss: 0.0719 | Epoch Time: 0.04s | Spearman@80: -0.3607 | Kendall@80: -0.2544
Epoch 18/150 | Train Loss: 0.0691 | Epoch Time: 0.04s | Spearman@80: -0.3381 | Kendall@80: -0.2373
Epoch 19/150 | Train Loss: 0.0702 | Epoch Time: 0.04s | Spearman@80: -0.3183 | Kendall@80: -0.2228
Epoch 20/150 | Train Loss: 0.0742 | Epoch Time: 0.04s | Spearman@80: -0.3061 | Kendall@80: -0.2139
Epoch 21/150 | Train Loss: 0.0636 | Epoch Time: 0.04s | Spearman@80: -0.2914 | Kendall@80: -0.2063
Epoch 22/150 | Train Loss: 0.0504 | Epoch Time: 0.04s | Spearman@80: -0.2706 | Kendall@80: -0.1943
Epoch 23/150 | Train Loss: 0.0508 | Epoch Time: 0.04s | Spearman@80: -0.2438 | Kendall@80: -0.1690
Epoch 24/150 | Train Loss: 0.0450 | Epoch Time: 0.04s | Spearman@80: -0.2009 | Kendall@80: -0.1411
Epoch 25/150 | Train Loss: 0.0465 | Epoch Time: 0.04s | Spearman@80: -0.1340 | Kendall@80: -0.0899
Epoch 26/150 | Train Loss: 0.0361 | Epoch Time: 0.04s | Spearman@80: -0.0729 | Kendall@80: -0.0468
Epoch 27/150 | Train Loss: 0.0307 | Epoch Time: 0.04s | Spearman@80: 0.0159 | Kendall@80: 0.0152
Epoch 28/150 | Train Loss: 0.0245 | Epoch Time: 0.04s | Spearman@80: 0.0661 | Kendall@80: 0.0411
Epoch 29/150 | Train Loss: 0.0254 | Epoch Time: 0.04s | Spearman@80: 0.0682 | Kendall@80: 0.0475
Epoch 30/150 | Train Loss: 0.0354 | Epoch Time: 0.05s | Spearman@80: 0.1203 | Kendall@80: 0.0823
Epoch 31/150 | Train Loss: 0.0209 | Epoch Time: 0.04s | Spearman@80: 0.2526 | Kendall@80: 0.1671
Epoch 32/150 | Train Loss: 0.0207 | Epoch Time: 0.04s | Spearman@80: 0.2721 | Kendall@80: 0.1823
Epoch 33/150 | Train Loss: 0.0204 | Epoch Time: 0.04s | Spearman@80: 0.3001 | Kendall@80: 0.2044
Epoch 34/150 | Train Loss: 0.0139 | Epoch Time: 0.04s | Spearman@80: 0.3508 | Kendall@80: 0.2392
Epoch 35/150 | Train Loss: 0.0253 | Epoch Time: 0.04s | Spearman@80: 0.3141 | Kendall@80: 0.2127
Epoch 36/150 | Train Loss: 0.0288 | Epoch Time: 0.04s | Spearman@80: 0.1605 | Kendall@80: 0.1120
Epoch 37/150 | Train Loss: 0.0223 | Epoch Time: 0.04s | Spearman@80: 0.1498 | Kendall@80: 0.0956
Epoch 38/150 | Train Loss: 0.0503 | Epoch Time: 0.04s | Spearman@80: 0.1857 | Kendall@80: 0.1234
Epoch 39/150 | Train Loss: 0.0198 | Epoch Time: 0.04s | Spearman@80: 0.2692 | Kendall@80: 0.1829
Epoch 40/150 | Train Loss: 0.0118 | Epoch Time: 0.04s | Spearman@80: 0.3310 | Kendall@80: 0.2278
Epoch 41/150 | Train Loss: 0.0121 | Epoch Time: 0.04s | Spearman@80: 0.3579 | Kendall@80: 0.2411
Epoch 42/150 | Train Loss: 0.0348 | Epoch Time: 0.05s | Spearman@80: 0.2615 | Kendall@80: 0.1778
Epoch 43/150 | Train Loss: 0.0191 | Epoch Time: 0.04s | Spearman@80: 0.1499 | Kendall@80: 0.1051
Epoch 44/150 | Train Loss: 0.0219 | Epoch Time: 0.04s | Spearman@80: 0.1057 | Kendall@80: 0.0728
Epoch 45/150 | Train Loss: 0.0243 | Epoch Time: 0.04s | Spearman@80: 0.0920 | Kendall@80: 0.0620
Epoch 46/150 | Train Loss: 0.0370 | Epoch Time: 0.04s | Spearman@80: 0.1091 | Kendall@80: 0.0759
Epoch 47/150 | Train Loss: 0.0257 | Epoch Time: 0.04s | Spearman@80: 0.1423 | Kendall@80: 0.1006
Epoch 48/150 | Train Loss: 0.0103 | Epoch Time: 0.04s | Spearman@80: 0.2032 | Kendall@80: 0.1399
Epoch 49/150 | Train Loss: 0.0089 | Epoch Time: 0.04s | Spearman@80: 0.2946 | Kendall@80: 0.2000
Epoch 50/150 | Train Loss: 0.0180 | Epoch Time: 0.04s | Spearman@80: 0.3206 | Kendall@80: 0.2291
Epoch 51/150 | Train Loss: 0.0071 | Epoch Time: 0.04s | Spearman@80: 0.3096 | Kendall@80: 0.2165
Epoch 52/150 | Train Loss: 0.0214 | Epoch Time: 0.04s | Spearman@80: 0.3194 | Kendall@80: 0.2190
Epoch 53/150 | Train Loss: 0.0113 | Epoch Time: 0.04s | Spearman@80: 0.3155 | Kendall@80: 0.2196
Epoch 54/150 | Train Loss: 0.0172 | Epoch Time: 0.04s | Spearman@80: 0.3010 | Kendall@80: 0.2101
Epoch 55/150 | Train Loss: 0.0017 | Epoch Time: 0.04s | Spearman@80: 0.2801 | Kendall@80: 0.1899
Epoch 56/150 | Train Loss: 0.0192 | Epoch Time: 0.04s | Spearman@80: 0.2631 | Kendall@80: 0.1804
Epoch 57/150 | Train Loss: 0.0070 | Epoch Time: 0.04s | Spearman@80: 0.2390 | Kendall@80: 0.1601
Epoch 58/150 | Train Loss: 0.0147 | Epoch Time: 0.04s | Spearman@80: 0.2248 | Kendall@80: 0.1519
Epoch 59/150 | Train Loss: 0.0028 | Epoch Time: 0.04s | Spearman@80: 0.2096 | Kendall@80: 0.1437
Epoch 60/150 | Train Loss: 0.0062 | Epoch Time: 0.04s | Spearman@80: 0.1873 | Kendall@80: 0.1304
Epoch 61/150 | Train Loss: 0.0090 | Epoch Time: 0.05s | Spearman@80: 0.1695 | Kendall@80: 0.1215
Epoch 62/150 | Train Loss: 0.0140 | Epoch Time: 0.05s | Spearman@80: 0.1474 | Kendall@80: 0.0994
Epoch 63/150 | Train Loss: 0.0113 | Epoch Time: 0.04s | Spearman@80: 0.1304 | Kendall@80: 0.0873
Epoch 64/150 | Train Loss: 0.0205 | Epoch Time: 0.04s | Spearman@80: 0.1228 | Kendall@80: 0.0816
Epoch 65/150 | Train Loss: 0.0080 | Epoch Time: 0.04s | Spearman@80: 0.1226 | Kendall@80: 0.0823
Epoch 66/150 | Train Loss: 0.0105 | Epoch Time: 0.04s | Spearman@80: 0.1171 | Kendall@80: 0.0785
Epoch 67/150 | Train Loss: 0.0168 | Epoch Time: 0.04s | Spearman@80: 0.1298 | Kendall@80: 0.0911
Epoch 68/150 | Train Loss: 0.0147 | Epoch Time: 0.04s | Spearman@80: 0.1373 | Kendall@80: 0.0968
Epoch 69/150 | Train Loss: 0.0070 | Epoch Time: 0.04s | Spearman@80: 0.1649 | Kendall@80: 0.1171
Epoch 70/150 | Train Loss: 0.0110 | Epoch Time: 0.04s | Spearman@80: 0.1948 | Kendall@80: 0.1430
Epoch 71/150 | Train Loss: 0.0032 | Epoch Time: 0.04s | Spearman@80: 0.2066 | Kendall@80: 0.1487
Epoch 72/150 | Train Loss: 0.0049 | Epoch Time: 0.04s | Spearman@80: 0.2147 | Kendall@80: 0.1538
Epoch 73/150 | Train Loss: 0.0082 | Epoch Time: 0.04s | Spearman@80: 0.2198 | Kendall@80: 0.1608
Epoch 74/150 | Train Loss: 0.0116 | Epoch Time: 0.04s | Spearman@80: 0.2004 | Kendall@80: 0.1430
Epoch 75/150 | Train Loss: 0.0030 | Epoch Time: 0.04s | Spearman@80: 0.1758 | Kendall@80: 0.1253
Epoch 76/150 | Train Loss: 0.0027 | Epoch Time: 0.04s | Spearman@80: 0.1901 | Kendall@80: 0.1310
Epoch 77/150 | Train Loss: 0.0025 | Epoch Time: 0.04s | Spearman@80: 0.2036 | Kendall@80: 0.1418
Epoch 78/150 | Train Loss: 0.0113 | Epoch Time: 0.04s | Spearman@80: 0.2152 | Kendall@80: 0.1456
Epoch 79/150 | Train Loss: 0.0090 | Epoch Time: 0.04s | Spearman@80: 0.2360 | Kendall@80: 0.1614
Epoch 80/150 | Train Loss: 0.0109 | Epoch Time: 0.04s | Spearman@80: 0.2417 | Kendall@80: 0.1677
Epoch 81/150 | Train Loss: 0.0126 | Epoch Time: 0.04s | Spearman@80: 0.2405 | Kendall@80: 0.1639
