normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.0994 | Epoch Time: 1.26s | Spearman@80: 0.3353 | Kendall@80: 0.1987
Epoch 2/150 | Train Loss: 0.1016 | Epoch Time: 0.08s | Spearman@80: 0.4636 | Kendall@80: 0.3204
Epoch 3/150 | Train Loss: 0.1001 | Epoch Time: 0.08s | Spearman@80: 0.4767 | Kendall@80: 0.3312
Epoch 4/150 | Train Loss: 0.0961 | Epoch Time: 0.07s | Spearman@80: 0.5203 | Kendall@80: 0.3597
Epoch 5/150 | Train Loss: 0.1029 | Epoch Time: 0.08s | Spearman@80: 0.5402 | Kendall@80: 0.3749
Epoch 6/150 | Train Loss: 0.0987 | Epoch Time: 0.08s | Spearman@80: 0.5332 | Kendall@80: 0.3730
Epoch 7/150 | Train Loss: 0.0935 | Epoch Time: 0.08s | Spearman@80: 0.5310 | Kendall@80: 0.3736
Epoch 8/150 | Train Loss: 0.0999 | Epoch Time: 0.08s | Spearman@80: 0.5396 | Kendall@80: 0.3762
Epoch 9/150 | Train Loss: 0.0963 | Epoch Time: 0.08s | Spearman@80: 0.5247 | Kendall@80: 0.3654
Epoch 10/150 | Train Loss: 0.0950 | Epoch Time: 0.08s | Spearman@80: 0.5258 | Kendall@80: 0.3667
Epoch 11/150 | Train Loss: 0.0987 | Epoch Time: 0.08s | Spearman@80: 0.5265 | Kendall@80: 0.3673
Epoch 12/150 | Train Loss: 0.0936 | Epoch Time: 0.07s | Spearman@80: 0.5132 | Kendall@80: 0.3603
Epoch 13/150 | Train Loss: 0.0952 | Epoch Time: 0.08s | Spearman@80: 0.5078 | Kendall@80: 0.3559
Epoch 14/150 | Train Loss: 0.0909 | Epoch Time: 0.07s | Spearman@80: 0.5029 | Kendall@80: 0.3502
Epoch 15/150 | Train Loss: 0.0907 | Epoch Time: 0.08s | Spearman@80: 0.4936 | Kendall@80: 0.3464
Epoch 16/150 | Train Loss: 0.0788 | Epoch Time: 0.08s | Spearman@80: 0.4699 | Kendall@80: 0.3299
Epoch 17/150 | Train Loss: 0.0841 | Epoch Time: 0.08s | Spearman@80: 0.4333 | Kendall@80: 0.3026
