normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.1006 | Epoch Time: 3.40s | Spearman@80: -0.2118 | Kendall@80: -0.1465
Epoch 2/150 | Train Loss: 0.1029 | Epoch Time: 0.09s | Spearman@80: 0.0271 | Kendall@80: 0.0209
Epoch 3/150 | Train Loss: 0.0985 | Epoch Time: 0.09s | Spearman@80: 0.0919 | Kendall@80: 0.0609
Epoch 4/150 | Train Loss: 0.0953 | Epoch Time: 0.09s | Spearman@80: 0.1334 | Kendall@80: 0.0926
Epoch 5/150 | Train Loss: 0.0949 | Epoch Time: 0.09s | Spearman@80: 0.2003 | Kendall@80: 0.1389
Epoch 6/150 | Train Loss: 0.0945 | Epoch Time: 0.09s | Spearman@80: 0.2243 | Kendall@80: 0.1528
Epoch 7/150 | Train Loss: 0.0934 | Epoch Time: 0.09s | Spearman@80: 0.2594 | Kendall@80: 0.1795
Epoch 8/150 | Train Loss: 0.0926 | Epoch Time: 0.09s | Spearman@80: 0.2996 | Kendall@80: 0.2016
Epoch 9/150 | Train Loss: 0.0825 | Epoch Time: 0.09s | Spearman@80: 0.3572 | Kendall@80: 0.2410
Epoch 10/150 | Train Loss: 0.0818 | Epoch Time: 0.09s | Spearman@80: 0.3999 | Kendall@80: 0.2746
Epoch 11/150 | Train Loss: 0.0701 | Epoch Time: 0.09s | Spearman@80: 0.4355 | Kendall@80: 0.3063
Epoch 12/150 | Train Loss: 0.0581 | Epoch Time: 0.09s | Spearman@80: 0.4474 | Kendall@80: 0.3114
Epoch 13/150 | Train Loss: 0.0494 | Epoch Time: 0.09s | Spearman@80: 0.4533 | Kendall@80: 0.3196
Epoch 14/150 | Train Loss: 0.0399 | Epoch Time: 0.09s | Spearman@80: 0.4452 | Kendall@80: 0.3094
Epoch 15/150 | Train Loss: 0.0373 | Epoch Time: 0.09s | Spearman@80: 0.4381 | Kendall@80: 0.3012
Epoch 16/150 | Train Loss: 0.0401 | Epoch Time: 0.09s | Spearman@80: 0.4600 | Kendall@80: 0.3202
Epoch 17/150 | Train Loss: 0.0408 | Epoch Time: 0.09s | Spearman@80: 0.4449 | Kendall@80: 0.3056
Epoch 18/150 | Train Loss: 0.0339 | Epoch Time: 0.09s | Spearman@80: 0.4131 | Kendall@80: 0.2739
