Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  160.99514484405518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.2302 | Epoch Time: 2.79s | Spearman@80: -0.0021 | Kendall@80: 0.0041
Epoch 2/150 | Train Loss: 0.1291 | Epoch Time: 0.02s | Spearman@80: -0.0042 | Kendall@80: 0.0025
Epoch 3/150 | Train Loss: 0.3065 | Epoch Time: 0.01s | Spearman@80: -0.0038 | Kendall@80: 0.0032
Epoch 4/150 | Train Loss: 0.3408 | Epoch Time: 0.01s | Spearman@80: -0.0034 | Kendall@80: 0.0038
Epoch 5/150 | Train Loss: 0.1765 | Epoch Time: 0.01s | Spearman@80: -0.0052 | Kendall@80: 0.0025
Epoch 6/150 | Train Loss: 0.2515 | Epoch Time: 0.01s | Spearman@80: -0.0045 | Kendall@80: 0.0032
Epoch 7/150 | Train Loss: 0.0907 | Epoch Time: 0.01s | Spearman@80: 0.0011 | Kendall@80: -0.0041
Epoch 8/150 | Train Loss: 0.2027 | Epoch Time: 0.01s | Spearman@80: -0.0022 | Kendall@80: 0.0041
Epoch 9/150 | Train Loss: 0.1247 | Epoch Time: 0.01s | Spearman@80: -0.0034 | Kendall@80: 0.0035
Epoch 10/150 | Train Loss: 0.0475 | Epoch Time: 0.01s | Spearman@80: -0.0050 | Kendall@80: 0.0025
Epoch 11/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0061 | Kendall@80: 0.0019
Epoch 12/150 | Train Loss: 0.2107 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0041
Epoch 13/150 | Train Loss: 0.1486 | Epoch Time: 0.01s | Spearman@80: -0.0039 | Kendall@80: 0.0038
Epoch 14/150 | Train Loss: 0.1660 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 15/150 | Train Loss: 0.1212 | Epoch Time: 0.01s | Spearman@80: -0.0026 | Kendall@80: 0.0038
Epoch 16/150 | Train Loss: 0.0690 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 17/150 | Train Loss: 0.0332 | Epoch Time: 0.01s | Spearman@80: -0.0036 | Kendall@80: 0.0032
Epoch 18/150 | Train Loss: 0.1094 | Epoch Time: 0.01s | Spearman@80: -0.0051 | Kendall@80: 0.0032
Epoch 19/150 | Train Loss: 0.0476 | Epoch Time: 0.01s | Spearman@80: -0.0039 | Kendall@80: 0.0038
Epoch 20/150 | Train Loss: 0.0398 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 21/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 22/150 | Train Loss: 0.0735 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 23/150 | Train Loss: 0.1430 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 24/150 | Train Loss: 0.1434 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 25/150 | Train Loss: 0.0448 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 26/150 | Train Loss: 0.1041 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 27/150 | Train Loss: 0.0304 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 28/150 | Train Loss: 0.0909 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 29/150 | Train Loss: 0.0966 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 30/150 | Train Loss: 0.0295 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 31/150 | Train Loss: 0.0931 | Epoch Time: 0.01s | Spearman@80: 0.0691 | Kendall@80: 0.0506
Epoch 32/150 | Train Loss: 0.0845 | Epoch Time: 0.01s | Spearman@80: -0.0102 | Kendall@80: 0.0032
Epoch 33/150 | Train Loss: 0.0215 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 34/150 | Train Loss: 0.0968 | Epoch Time: 0.01s | Spearman@80: -0.0023 | Kendall@80: 0.0044
Epoch 35/150 | Train Loss: 0.0902 | Epoch Time: 0.01s | Spearman@80: 0.0127 | Kendall@80: 0.0139
