Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  138.98780965805054  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.0989 | Epoch Time: 5.73s | Spearman@80: -0.0872 | Kendall@80: -0.0481
Epoch 2/150 | Train Loss: 0.1023 | Epoch Time: 0.05s | Spearman@80: 0.2560 | Kendall@80: 0.1658
Epoch 3/150 | Train Loss: 0.1025 | Epoch Time: 0.04s | Spearman@80: 0.6386 | Kendall@80: 0.4671
Epoch 4/150 | Train Loss: 0.0971 | Epoch Time: 0.04s | Spearman@80: 0.6866 | Kendall@80: 0.4987
Epoch 5/150 | Train Loss: 0.1059 | Epoch Time: 0.04s | Spearman@80: 0.7079 | Kendall@80: 0.5177
Epoch 6/150 | Train Loss: 0.1039 | Epoch Time: 0.04s | Spearman@80: 0.7030 | Kendall@80: 0.5146
Epoch 7/150 | Train Loss: 0.1057 | Epoch Time: 0.04s | Spearman@80: 0.7020 | Kendall@80: 0.5139
Epoch 8/150 | Train Loss: 0.0950 | Epoch Time: 0.04s | Spearman@80: 0.7319 | Kendall@80: 0.5424
Epoch 9/150 | Train Loss: 0.0933 | Epoch Time: 0.04s | Spearman@80: 0.7764 | Kendall@80: 0.5873
Epoch 10/150 | Train Loss: 0.0982 | Epoch Time: 0.04s | Spearman@80: 0.7944 | Kendall@80: 0.6051
Epoch 11/150 | Train Loss: 0.0954 | Epoch Time: 0.04s | Spearman@80: 0.8020 | Kendall@80: 0.6120
Epoch 12/150 | Train Loss: 0.1022 | Epoch Time: 0.04s | Spearman@80: 0.8144 | Kendall@80: 0.6241
Epoch 13/150 | Train Loss: 0.0980 | Epoch Time: 0.04s | Spearman@80: 0.8285 | Kendall@80: 0.6437
Epoch 14/150 | Train Loss: 0.1012 | Epoch Time: 0.04s | Spearman@80: 0.8284 | Kendall@80: 0.6329
Epoch 15/150 | Train Loss: 0.0965 | Epoch Time: 0.04s | Spearman@80: 0.8222 | Kendall@80: 0.6247
Epoch 16/150 | Train Loss: 0.0998 | Epoch Time: 0.04s | Spearman@80: 0.8171 | Kendall@80: 0.6171
Epoch 17/150 | Train Loss: 0.0903 | Epoch Time: 0.04s | Spearman@80: 0.8057 | Kendall@80: 0.6032
Epoch 18/150 | Train Loss: 0.0993 | Epoch Time: 0.04s | Spearman@80: 0.7848 | Kendall@80: 0.5810
Epoch 19/150 | Train Loss: 0.0831 | Epoch Time: 0.04s | Spearman@80: 0.7313 | Kendall@80: 0.5253
Epoch 20/150 | Train Loss: 0.0819 | Epoch Time: 0.04s | Spearman@80: 0.6595 | Kendall@80: 0.4658
Epoch 21/150 | Train Loss: 0.0650 | Epoch Time: 0.04s | Spearman@80: 0.5835 | Kendall@80: 0.4076
Epoch 22/150 | Train Loss: 0.0634 | Epoch Time: 0.04s | Spearman@80: 0.4720 | Kendall@80: 0.3158
Epoch 23/150 | Train Loss: 0.0388 | Epoch Time: 0.04s | Spearman@80: 0.4009 | Kendall@80: 0.2715
Epoch 24/150 | Train Loss: 0.0123 | Epoch Time: 0.04s | Spearman@80: 0.3075 | Kendall@80: 0.1987
Epoch 25/150 | Train Loss: 0.0278 | Epoch Time: 0.04s | Spearman@80: 0.3062 | Kendall@80: 0.2057
Epoch 26/150 | Train Loss: 0.0039 | Epoch Time: 0.04s | Spearman@80: 0.3106 | Kendall@80: 0.2139
