Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  105.2606897354126  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.0994 | Epoch Time: 2.80s | Spearman@80: 0.5547 | Kendall@80: 0.3972
Epoch 2/150 | Train Loss: 0.1001 | Epoch Time: 0.04s | Spearman@80: 0.5469 | Kendall@80: 0.3914
Epoch 3/150 | Train Loss: 0.0963 | Epoch Time: 0.03s | Spearman@80: 0.5398 | Kendall@80: 0.3863
Epoch 4/150 | Train Loss: 0.0972 | Epoch Time: 0.04s | Spearman@80: 0.5531 | Kendall@80: 0.3946
Epoch 5/150 | Train Loss: 0.0948 | Epoch Time: 0.04s | Spearman@80: 0.5588 | Kendall@80: 0.4030
Epoch 6/150 | Train Loss: 0.0802 | Epoch Time: 0.03s | Spearman@80: 0.5625 | Kendall@80: 0.4081
Epoch 7/150 | Train Loss: 0.0887 | Epoch Time: 0.03s | Spearman@80: 0.5598 | Kendall@80: 0.4056
Epoch 8/150 | Train Loss: 0.0823 | Epoch Time: 0.04s | Spearman@80: 0.5575 | Kendall@80: 0.4030
Epoch 9/150 | Train Loss: 0.0766 | Epoch Time: 0.03s | Spearman@80: 0.5544 | Kendall@80: 0.4017
Epoch 10/150 | Train Loss: 0.0810 | Epoch Time: 0.04s | Spearman@80: 0.5523 | Kendall@80: 0.4004
Epoch 11/150 | Train Loss: 0.0588 | Epoch Time: 0.04s | Spearman@80: 0.5515 | Kendall@80: 0.4004
Epoch 12/150 | Train Loss: 0.0476 | Epoch Time: 0.03s | Spearman@80: 0.5502 | Kendall@80: 0.3985
Epoch 13/150 | Train Loss: 0.0507 | Epoch Time: 0.03s | Spearman@80: 0.5470 | Kendall@80: 0.3972
Epoch 14/150 | Train Loss: 0.0497 | Epoch Time: 0.04s | Spearman@80: 0.5296 | Kendall@80: 0.3805
Epoch 15/150 | Train Loss: 0.0733 | Epoch Time: 0.03s | Spearman@80: 0.5107 | Kendall@80: 0.3645
Epoch 16/150 | Train Loss: 0.0325 | Epoch Time: 0.03s | Spearman@80: 0.4694 | Kendall@80: 0.3298
Epoch 17/150 | Train Loss: 0.0157 | Epoch Time: 0.03s | Spearman@80: 0.4210 | Kendall@80: 0.2971
